"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"236",347812,313144,273421.5,387549.125,438071,440276,2017,"BIBE"
"237",495129,441206.875,388200.5,551810.375,625711.25,446961,2017,"BISC"
"238",183427.5,162861.75,143471.75,204438,229314.75,307143,2017,"BLCA"
"239",1447317,1287920.375,1137154.75,1608958.375,1812561.5,2571684,2017,"BRCA"
"240",514312,460132.625,403718,574784.625,643598.5,742271,2017,"CANY"
"241",761952.5,680182.75,601925.75,856403.25,969275,1150165,2017,"CARE"
"242",400374,359389.75,313947.75,445395.375,499142.5,520026,2017,"CAVE"
"243",296325.5,264466.875,233007.25,328694.875,372229,383687,2017,"CHIS"
"244",112575.5,101015.375,88692.75,126421.25,144161,159595,2017,"CONG"
"245",506245.5,456459.75,402210.75,562386.375,632442.75,711749,2017,"CRLA"
"246",2397163,2121103.625,1851228.5,2682717.375,3018453.75,2226879,2017,"CUVA"
"247",442789.5,400117.375,351277,496855.625,554918.25,642809,2017,"DENA"
"248",963732.5,862388.875,758161.25,1083621.375,1212853.75,1294827,2017,"DEVA"
"249",61751,55139.75,48219.25,68530.625,77165.75,54281,2017,"DRTO"
"250",934621.5,836914.125,733867,1036737.75,1162596.5,1018557,2017,"EVER"
"251",10521,9463.25,8343.75,11697.375,13202.25,11177,2017,"GAAR"
"252",2210018,1980769.5,1731166.25,2459736.125,2780931.5,3305512,2017,"GLAC"
"253",471971,421322.25,366254.5,525963.375,587619.75,547057,2017,"GLBA"
"254",97503,87508.875,76953,107215.25,121287.5,168028,2017,"GRBA"
"255",4458259.5,3979286.125,3473322,4973140.125,5590895,6254238,2017,"GRCA"
"256",290162,256722.375,223483.5,323520.5,363227.25,486935,2017,"GRSA"
"257",9458898.5,8504591.25,7396656.5,10539924,11911728,11338893,2017,"GRSM"
"258",2741425,2442360.625,2164746,3077640.875,3450698.75,3317000,2017,"GRTE"
"259",167949,150866.375,132071.75,184772.375,208115,225257,2017,"GUMO"
"260",1143781.5,1022609,900203.75,1289884.125,1443274,1112390,2017,"HALE"
"261",1435631,1295094.75,1137395.75,1580376.5,1785128.75,2016702,2017,"HAVO"
"262",1418570.5,1271417,1123161.5,1593208.125,1808130.75,1561616,2017,"HOSP"
"263",16491,14680.25,13055.75,18331.5,20477.75,28196,2017,"ISRO"
"264",1815255.5,1605046.75,1388104,2046065.125,2311375,2853619,2017,"JOTR"
"265",36132.5,32441.875,28752.75,40288,45478.5,37818,2017,"KATM"
"266",280476,250325.75,220176.25,312543.375,348946,303598,2017,"KEFJ"
"267",550218.5,493430.125,426494.75,612448.125,690920.75,692932,2017,"KICA"
"268",7701,6829.625,5952.5,8775.125,9953,15500,2017,"KOVA"
"269",12539.5,11168.25,9877.5,13973.125,15783.25,22755,2017,"LACL"
"270",405285.5,361637.125,318508.75,449368.375,504041.75,507256,2017,"LAVO"
"271",491180,439405.625,385230.75,551232.125,624348.5,587853,2017,"MACA"
"272",519288,464910.375,410123.25,576650.625,646736,613788,2017,"MEVE"
"273",1128704.5,1014798.5,895194.5,1258385.125,1408937.5,1415867,2017,"MORA"
"274",22829,20359.625,17718,25325.875,28295.5,30326,2017,"NOCA"
"275",11187,9975.25,8742,12443.875,13992.75,69468,2017,"NPSA"
"276",3081487.5,2757980.75,2434776,3439983.5,3863491,3401996,2017,"OLYM"
"277",643866,575247.5,510224,720288.625,808478.25,627757,2017,"PEFO"
"278",410434,365884.125,320413.25,456526.25,514869.5,445000,2017,"REDW"
"279",3263327,2913573.25,2554209.75,3624067.5,4060213.75,4437215,2017,"ROMO"
"280",714638.5,641148.75,565658,801520.5,903201.75,964760,2017,"SAGU"
"281",1058266.5,950030.75,825964.75,1184943.375,1337380.25,1291256,2017,"SEQU"
"282",1172531,1046987.25,929663.5,1294469.5,1460845.75,1458874,2017,"SHEN"
"283",598075,538729.5,471288,667734.125,753914.25,708003,2017,"THRO"
"284",420761,375204.5,330527.5,467410.875,524174.25,304408,2017,"VIIS"
"285",221984,198459.5,174911.75,247470.5,279223,237250,2017,"VOYA"
"286",550756.5,495746.875,435894.5,610697,694506.75,619924,2017,"WICA"
"287",71266,63368.125,54917,78594.5,89150.75,68292,2017,"WRST"
"288",3480506,3085173.125,2704024.5,3877358.125,4357934,4116524,2017,"YELL"
"289",3785519.5,3363466.25,2955963.5,4207286.625,4701227.25,4336890,2017,"YOSE"
"290",3332256,2981484.5,2631028.25,3729607.5,4207092.25,4504812,2017,"ZION"
